PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,4f5,4f7
1000,1290971.69759797,147373.288649582,88777.3295607866,31261.9542125674,4719.54544706266,1435248.41177379,3588078.18955037,116607.742384383,296291.446325531,35703.9228529927,78883.0158478493,2962.47744046233,4585.17103912877,762634.319142924,1171274.13353954,83801.7340658557,128958.846440835,6614.40724594212,9698.37415831025
1050,1260987.16104842,143344.667858779,84233.7869297444,29147.6804513034,4409.42659626666,1350279.34603339,3343915.80549244,111132.136335851,279857.097435831,33548.7435066391,73482.7904422806,2759.5698657107,4285.17204199272,686664.046818644,1052750.8296678,76506.4885134205,117514.573125264,5626.82006355556,8241.54160060185
1100,1231959.33720791,139468.283967311,80020.6436168411,27237.163029845,4128.2309355957,1271807.71240889,3121098.79031862,105992.836112077,264610.523904438,31565.7875866556,68575.4293223544,2575.64358717223,4011.76956559514,619979.376200728,948918.456002062,69991.6278577942,107317.650823576,4811.21202749663,7039.98938724076
1150,1203849.54206626,135736.826720517,76107.0735563666,25505.260674177,3872.50975048076,1199228.53269497,2917364.42203396,101164.468469123,250446.617578307,29738.0633688663,64105.2476859739,2408.47240596348,3762.01797911025,561245.748391867,857638.354185261,64158.7964984301,98207.9718458681,4133.60857493383,6042.96766029721
1200,1176620.97988214,132143.410103495,72465.733555828,23930.5739625995,3639.31010920049,1132002.86895911,2730730.20155455,96623.9199230259,237271.21735276,28050.5613703986,60024.0046559245,2256.14135857471,3533.35988616764,509347.720804259,777127.215609719,58923.8312268451,90048.9474661103,3567.49789834002,5210.94475098922
1250,1150238.63546525,128681.543560973,69072.3041435346,22494.7985920841,3426.09209272691,1069649.59146576,2559454.34667198,92350.1056250498,224999.803423441,26489.9888272681,56289.7611571386,2116.9965446622,3323.56716315463,463348.718044885,705891.071514271,54214.4647940255,82723.6354051794,3092.03565245383,4512.89144613029
1300,1124669.17347506,125345.105445997,65905.0992396378,21182.2050954238,3230.66166083089,1011738.29589759,2402002.50656857,88323.7648433609,213556.366381616,25044.5441532618,52865.934578584,1989.60406406294,3130.69208190103,422458.925031408,642672.779417215,49968.439648191,76131.570901091,2690.71711113889,3924.27677885107
1350,1099880.84422307,122128.318503851,62944.7331422738,19979.2175703206,3051.11587483809,957883.192804631,2257019.61877975,84527.2796563212,202872.425267641,23703.7247203087,49720.5127639923,1872.71623255851,2953.0266073199,386009.530484027,586410.005465162,46131.9519611299,70186.1620313017,2350.38627755838,3425.57548438209
1400,1075843.39550748,119025.72721625,60173.835436213,18874.0704939854,2885.79795019431,907737.821967406,2123306.03380895,80944.5139369435,192886.172883963,22458.1625124585,46825.3976517781,1765.24364758504,2789.06835556778,353431.953721929,536201.420517499,42658.3628579119,64812.5397333987,2060.49021102975,3001.14698469292
1450,1052527.99004646,116032.176847452,57576.8061244023,17856.5275377703,2733.26017781999,860990.468712925,1999797.19457874,77560.6701104976,183541.730123064,21299.4831789924,44155.8549175832,1666.23198152713,2637.49200494309,324241.004866392,491279.362365756,39507.1267788953,59945.7759368227,1812.51342324852,2638.38662343139
1500,1029907.12811119,113142.794048884,55139.6046439637,16917.6499255068,2592.2331818837,817360.179224492,1885546.28753724,74362.161509557,174788.493924648,20220.1847974163,41690.0506812778,1574.84261562789,2497.12519123669,298021.167053714,450987.617242348,36642.8970406952,55529.4010280316,1599.54563368073,2327.07813044146
1550,1007954.5749911,110352.968892203,52849.5675276502,16049.6046218253,2461.6003087788,776593.288370834,1779709.38644302,71336.4984426036,166580.565850447,19213.5332931803,39408.6600355457,1490.33640954762,2366.92810735775,274415.369813392,414763.276269714,34034.7766007158,51514.1657564397,1415.94908849084,2058.8960408171
1600,986645.292952378,107658.338212787,50695.2503636809,15245.5047251193,2340.37619353887,738460.387210809,1681532.6939639,68472.1863416545,158876.250242364,18273.4719803278,37294.5350689844,1412.06004319522,2245.97617560805,253115.760329281,382121.852325993,31655.6882761107,47857.0035690428,1257.100780712,1827.02072594065
1650,965955.37737753,105054.770156368,48666.290433525,14499.2760415078,2227.6887444901,702753.668636921,1590341.55439489,65758.6345679159,151637.612581617,17394.5431096972,35332.4223692428,1339.43447826311,2133.44527889781,233856.084753187,352645.018507093,29481.8436065302,44520.1579299176,1119.1914274877,1625.83861561617
1700,945861.996797319,102538.349831301,46753.2870015878,13805.5450529552,2122.7639384399,669284.599029112,1505530.96626328,63186.0746377242,144830.090050624,16571.819657499,33508.721834935,1271.94517410036,2028.59913126673,216405.3730513,325970.46449462,27492.2934724055,41470.4459600649,999.067752191331,1450.70731782307
1750,926343.336548887,100105.365977681,44947.6967188506,13159.5444539524,2024.91293738584,637881.871642151,1426557.3688827,60745.4867886382,138422.147462151,15800.8458718353,31811.2801011202,1209.13376155815,1930.77844347556,200562.683912273,301783.471657652,25668.5467095694,38678.635121259,894.108024428478,1297.77050535608
1800,907378.545813783,97752.2985724165,43241.7420048408,12557.0331828493,1933.52113124244,608389.604021755,1352931.51404123,58428.5339413583,132384.972699928,15077.5853297499,30229.2130705176,1150.59093331736,1839.39160014703,186152.715396295,279809.889000135,23994.2454677487,36118.9139688265,802.123301553906,1163.81120784455
1850,888947.687808266,95475.8072964847,41628.3306051141,11994.2284651913,1848.03878516882,580665.747260499,1284212.26454052,56227.5022304187,126692.206642335,14398.3754520228,28752.753001945,1095.95035306654,1753.90661403578,173022.12551796,259810.255611,22454.8880768382,33768.4414463238,721.278650578168,1046.13492022056
1900,871031.692915167,93272.7207970599,40100.9847977103,11467.7478540962,1767.97302908174,554580.679546728,1220001.18649895,54135.2473780536,121319.703241481,13759.8875846202,27373.116385773,1044.88342111732,1673.84416288246,161036.4372834,241574.865201594,21037.5918131767,31606.9619703514,650.029991245427,942.475992805829
1950,853612.314562255,91140.0266829885,38653.7789521401,10974.5596246131,1692.8809741644,530015.960376902,1159937.82319186,52145.1462735705,116245.316024813,13159.0918904719,26082.389470165,997.094762452639,1598.77154682221,150077.426697077,224919.60773218,19730.8892779582,29616.4757962368,587.073218555094,850.922300418248
2000,836672.08766632,89074.8621973815,37281.2843367365,10511.9401762595,1622.36377916161,506863.225115564,1103695.5555261,50251.0531969224,111448.707792524,12593.2264078954,24873.4288202891,952.318326218396,1528.2974309336,140040.911324833,209682.454392723,18524.5531737477,27780.9559741409,531.303028090743,769.854338326143
2050,820194.289475439,87074.5055158637,35978.5202313613,10077.4373366777,1556.06151993855,485023.20239749,1050977.96867824,48447.2601915935,106911.180715748,12059.769726431,23739.7747181806,910.314004392001,1462.06725938243,130834.872223975,195720.477110168,17409.4451417974,26086.1046856999,481.779446379311,697.895762042753
2100,804162.902653938,85136.3676233475,34740.9105379474,9668.83865199854,1493.64874068204,464404.839255633,1001515.65648314,46728.4611497929,102615.524409576,11556.416810252,22675.5755614172,870.864692653964,1399.75924564731,122377.854255694,182907.313682203,16377.3850410936,24519.1429607517,437.700509055532,633.87304855184
2150,788562.580465802,83257.9847261358,33564.2451955947,9284.14390565148,1434.83058541706,444924.520894176,955063.405262419,45089.7192234753,98545.8798710729,11081.0575662556,21675.5217084586,833.773729027315,1341.08085823532,114597.599618669,171131.005647412,15421.0376404024,23068.6287650143,398.379866799296,576.782461515101
2200,773378.613922516,81437.0111597283,32444.6458035355,8921.54123446168,1379.33942511617,426505.373764554,911397.707270182,43526.4372188802,94687.6174439362,10631.7578105241,20734.7874587478,798.862656168637,1285.7657336837,107429.877380759,160292.148915087,14533.8141813478,21724.2992647833,363.228358501043,525.762891125091
2250,758596.900770826,79671.2127559565,31378.5349371757,8579.38631477002,1326.93190931945,409076.642090335,870314.561084001,42034.3306709669,91027.2272049793,10206.7423347972,19848.9800555522,765.969261716944,1233.57095896175,100817.478224358,150302.307633682,13709.7866731573,20476.9337472174,331.738791842576,480.073439146301
2300,744203.916204661,77958.4606360293,30362.6087120394,8256.18417656367,1277.38638242924,392573.12926315,831627.52230836,40609.4033280552,87552.2203689356,9804.37981533735,19014.0947663342,734.945858169614,1184.27467400786,94709.3488625716,141082.650273939,12943.6131136984,19318.2342312679,303.473327540954,439.074852565982
2350,730186.685193507,76296.7253987642,29393.8122097745,7950.57327383032,1230.50061415018,376934.696628966,795165.973071565,39247.9248067869,84251.0404819959,9423.16934126628,18226.4752350824,705.657769627513,1137.67395236115,89059.8448653937,132562.773832806,12230.4721092994,18240.7212661631,278.052985418514,402.214091006062
2400,716532.756327003,74684.0716757356,28469.3174310662,7661.31149740658,1186.08980127285,362105.813128806,760773.583137614,37946.410203752,81112.9833249886,9061.72836906721,17482.778418261,677.981997650415,1093.5829239192,83828.084145162,124679.687735669,11566.0055976811,17237.6427987802,255.148886145441,369.011455527405
2450,703230.177082411,73118.653027313,27586.5034837173,7387.26386475878,1143.98480443801,348035.150073449,728306.939147463,36701.6014732268,78128.1245776076,8718.78193528847,16779.9435147297,651.806042563042,1051.83110897117,78977.3862372882,117376.933671458,10946.2685722694,16302.8943121056,234.474917932745,339.049818669128
2500,690267.470427966,71598.7071556065,26742.938751417,7127.39166123163,1104.03058889985,334675.216036622,697634.321653387,35510.4504008607,75287.2544084447,8393.15298121387,16115.164383302,627.026859992383,1012.26193698082,74474.7848939235,110603.821431391,10367.6848688473,15430.9487055277,215.781577175699,311.965584323407
2550,677633.612681044,70122.5514122079,25936.3648207794,6880.74284079018,1066.08484281912,321982.027461969,668634.612301738,34370.1030211652,72581.8182542178,8083.7536619377,15485.8650121273,603.549935312555,974.731427259282,70290.6034792133,104314.763992215,9827.00821230961,14616.7946130483,198.850779528789,287.441076546661
2600,665318.012545498,68688.5785803259,25164.6819718753,6646.44352233859,1030.01675041172,309914.811109041,641196.315824862,33277.8853425945,70003.8631375662,7789.57752836198,14889.6776639254,581.288461117531,939.107011780997,66398.0842907952,98468.6977122765,9321.28783662264,13855.8820450824,183.491475793477,265.198112633291
2650,653310.491257602,67295.2529124766,24425.9360613657,6423.69044127934,995.705900479051,298435.734924385,615216.683481818,32231.2902581346,67545.9889478542,7509.69248450915,14324.4233720066,560.162604910484,905.266483048379,62773.0642940782,93028.5756928371,8847.83808855948,13144.0743993946,169.535937369905,244.992560793831
2700,641601.263774693,65941.1064063289,23718.3066480224,6211.74423585126,963.041313553623,287509.664325064,590600.926289681,31227.9655318422,65201.3041750843,7243.23443453965,13788.0945054196,540.098855953692,873.097052174563,59393.6908926942,87960.924177833,8404.21150834866,12477.6060218908,156.836600450315,226.609718956339
2750,630180.920944982,64624.7353026112,23040.0962283681,6009.92346458392,931.920573189349,277103.941232048,567261.507854091,30265.7027629089,62963.3856445341,6989.40154425661,13278.8391586739,521.02944171606,842.494504291044,56240.1723101087,83235.4533872329,7988.17495047124,11853.0446125187,145.263377849518,209.860380389521
2800,619040.412601,63344.7967901987,22389.7204657585,5817.59926544524,902.249048878432,267188.183496796,545117.507874512,29342.4272387203,60826.2418501957,6747.44905089904,12794.9471532678,502.89180562867,813.362440048539,53294.5579560011,78824.7154548115,7597.68836749056,11267.2578688094,134.701363339736,194.577475464886
2850,608171.031522888,62100.0059045991,21765.6993098174,5634.19057935999,873.939199741217,257734.102632099,524094.048495559,28456.1885971999,58784.2795294361,6516.68456286774,12334.8374655419,485.628138947269,785.611593407648,50540.5448229814,74703.8032131135,7230.88593066377,10717.3838423961,125.04886633882,180.613198058169
2900,597564.398221248,60889.1326070777,21166.6489149837,5459.15987108747,846.909949557864,248715.337992933,504121.776625717,27605.1522265829,56832.2731603196,6296.46379785918,11897.0469188596,469.184960453259,759.159217146099,47963.3065259961,70850.0844714341,6886.05920455134,10200.8045544769,116.215725386715,167.836540721907
2950,587212.446492443,59710.9990325901,20591.274277293,5292.00928925397,821.086124929409,240107.305759124,485136.396169636,26787.591337783,54965.3370974264,6086.1867138431,11480.2199983586,453.512738525678,733.928528571351,45549.3420760038,67242.9671952724,6561.64213006152,9715.12247657027,108.121857504615,156.131175539584
3000,577107.409702279,58564.4768955554,20038.3625175842,5132.2772148765,796.397949402142,231887.061252812,467078.24483768,26001.879650785,53178.9000923488,5885.2939925298,11083.0996640076,438.565550805938,709.848208845789,43286.3418856551,63863.6916412729,6256.19760230356,9258.13953462957,100.69600763686,145.393628050376
