PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,4f5,4f7
1000,1012853.50762614,131168.742758185,91329.7827481565,38545.3465835023,6366.42542083434,1559114.82071093,4206870.59364522,114801.794145109,334571.900358535,40686.6035318393,105796.975640057,5557.72215123832,11294.7318507339,1227108.18635718,1913031.41892876,129767.414294509,201635.266202583,61351.3003951825,87632.2279105155
1050,994469.434510971,128250.427329077,87308.2659699798,36204.522534497,5948.66667417828,1481524.09312407,3955877.53513503,110514.466298416,318763.474318014,38683.3176080538,99350.2794037841,5221.70873006115,10559.8571143281,1117336.81995378,1737452.42715812,120017.540566269,185978.516135069,53170.8394579487,75845.8741710863
1100,976545.944672947,125422.312550563,83540.9374592349,34067.7028973827,5570.1720479473,1408955.43984867,3724239.56533886,106438.262063999,303935.637561494,36811.7402732242,93430.3951936433,4913.83460287722,9890.33374911141,1019692.06569564,1581732.38793469,111176.297366108,171828.160233201,46278.532867513,65931.692437357
1150,959068.36414275,122680.84306013,80007.0489093618,32112.0141187627,5226.20315895566,1341011.01461313,3510138.71156039,102560.33442675,290013.515578842,35061.1121787602,87983.7995080547,4631.11979582777,9278.86841375728,932590.983355336,1443221.18988686,103143.226744723,159012.405440214,40442.1547774084,57549.2410081316
1200,942022.584944117,120022.633354835,76687.9130008791,30317.6879996814,4912.71267017141,1277330.07836072,3311957.22730833,98868.7636327732,276928.99140179,33421.7186915981,82963.4256220958,4370.96281535643,8719.13902737016,854687.610794897,1319673.84611869,95830.6560210479,147381.994241375,35476.3601456437,50427.3952199226
1250,925395.039516369,117444.458280759,73566.663567029,28667.5705166216,4626.22709139758,1217585.03258335,3128252.40881787,95352.4800104878,264620.004619908,31884.7728897734,78327.7668853853,4131.08495906706,8205.64547302853,784833.140041683,1209181.04028254,89161.8648741447,136806.877043143,31232.2605231918,44348.8039717813
1300,909172.676459783,114943.244131754,70628.0476024515,27146.7187825797,4363.75208980937,1161477.92913128,2957734.95920178,92001.1940487348,253029.932286136,30442.3133484783,74040.1202436834,3909.48389101311,7733.58617490951,722043.485154735,1110112.81371584,83069.5436234376,127173.428708391,27589.5204392859,39138.1359885302
1350,893342.937526884,112516.060313611,67858.244383833,25742.0685493805,4122.69550796633,1108737.39314868,2799250.34874034,88805.3329730026,242107.04110467,29087.1146405949,70067.9457006171,3704.39476998942,7298.7555811732,665472.745452708,1021072.68365788,77494.4920832266,118382.111946809,24450.3182923113,34653.1213135323
1400,877893.735787651,110160.111533278,65244.7077464742,24442.1585050754,3900.80440842584,1059115.90499719,2651762.71332278,85755.9831480727,231804.001798942,27812.6087951343,66382.3220333073,3514.25756563367,6897.45862740205,614391.394782428,940860.085632705,72384.5179053358,110345.509091537,21734.697979143,30777.6721106097
1450,862813.434901315,107872.730475969,62776.0281973737,23236.9005588695,3696.11330218189,1012387.39479109,2514340.90942922,82844.8377116661,222077.457830797,26612.816223119,62957.4827313035,3337.68946750593,6526.43906136664,568168.278040449,868439.492508896,67693.5009253553,102986.658712577,19376.9660940604,27416.5627037983
1500,848090.82943165,105651.37093588,60441.8120703912,22117.3875634082,3506.90134962675,968345.109722953,2386146.4066532,80064.1489105266,212887.641722063,25482.2848428001,59770.4190491027,3173.46150465323,6182.81913680641,526255.689185227,802914.914901179,63380.5961185934,96237.645391147,17322.8810924775,24491.2877977387
1550,833715.126146691,103493.601368946,58232.5753634905,21075.7316700815,3331.65680223349,926799.719910533,2266422.75027244,77406.6846690737,204198.033148165,24416.0363224409,56800.5394071472,3020.47866085636,5864.04867444189,488176.95454068,743508.759099504,59409.5526719782,90038.4004698834,15527.4465952192,21936.8173968405
1600,819675.926247487,101397.098838478,56139.650258832,20104.9278718738,3169.04731994256,887577.63320775,2154486.36888975,74865.6889723541,195975.053756178,23409.5185155079,54029.3762666247,2877.7629038865,5567.86187441362,453516.06170956,689544.229242033,55748.1306360797,84335.6792118131,13953.1686686881,19699.03888527
