PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,4f5,4f7
1000,885515.912261284,121940.260031072,89553.0846820306,40648.6786960557,7875.81026000598,1585894.01994301,4447498.49982176,110012.206562993,346095.226721562,40567.6805213639,119298.890865064,7228.47960341699,17137.5761107098,1506323.78231974,2372172.23790609,155390.465008273,243351.531264422,136612.169614069,193467.824228475
1050,871367.701372094,119504.676322465,85932.5903505559,38350.9540416549,7362.18095858828,1514086.69398434,4200568.18455891,106380.825839642,331106.5368676,38807.2013058747,112470.64392768,6823.85586111087,16034.5239188577,1379289.1392598,2165653.95164608,144624.116805747,225802.699822213,119349.612388796,168774.400613781
1100,857532.191576152,117136.832819529,82523.2857555269,36240.3263237087,6896.8689235078,1446522.45239231,3971411.15835673,102908.108236124,316973.149440088,37149.198980228,106168.095691635,6450.83355258275,15028.9605806367,1265528.03456762,1981359.87000622,134787.490065398,209829.086922175,104676.621133297,147822.455630268
1150,844000.580202088,114834.322894213,79309.2095876936,34297.1421124283,6474.01848553346,1382893.64579931,3758465.72884951,99585.4634658697,303634.827597946,35586.2367557945,100340.81685723,6106.27751925035,14110.0461415459,1163397.62255732,1816461.76702825,125785.004125606,195262.539155704,92146.7476603936,129960.539726779
1200,830764.364966441,112594.843693068,76275.8722175908,32504.2532882388,6088.63319537226,1322918.94243516,3560331.40338358,96404.8541545682,291036.3593054,34111.5211172233,94944.1322932337,5787.42684820978,13268.3811192658,1071488.72375883,1668544.4882614,117532.421134217,181955.604717192,81399.9922944343,114664.582507869
1250,817815.331950406,110416.190886816,73410.0964017332,30846.644237971,5736.42904519898,1266340.74321743,3375749.85696038,93358.7547206587,279127.074706725,32718.8374860352,89938.3640140023,5491.84298425702,12495.7853301868,988588.454479279,1535538.18589946,109955.326272245,169778.658315238,72144.3212734014,101510.397055952
1300,805145.544127898,108296.253724188,70699.877696364,29311.122098165,5413.7161058282,1212922.88259845,3203588.42048322,90440.1137164853,267860.415786396,31402.4931628814,85288.1864543448,5217.36599326387,11785.1150309514,913649.467570486,1415662.8398472,102987.834080705,158617.469117297,64141.4900468077,90152.6504788138
1350,792747.330416504,106233.010370211,68134.2618459485,27886.0581624999,5117.3024660928,1162448.58015164,3042825.72053239,87642.3193056813,257193.552025151,30157.2666322516,80962.0755709616,4962.07755231187,11130.1110173821,845764.527030008,1307382.63391514,96571.4840214139,148371.136954835,57196.0907342676,80308.6611584077
1400,780613.275224466,104224.52351052,65703.2368320415,26561.171029618,4844.41580111591,1114718.6125796,2892539.16081648,84959.1675858169,247087.03659221,28978.3624400884,76931.8366245597,4724.26951510197,10525.2718681744,784145.405881119,1209368.27590939,90654.2949239845,138950.335695976,51147.032583739,71745.8275898508
1450,768736.208468426,102268.93620464,63397.6376166756,25327.3439744952,4592.63896912446,1069549.67984219,2751893.98418711,82384.8334950416,237504.498324832,27861.3709624024,73172.1981735802,4502.41711747042,9965.7477147722,728105.303841415,1120465.75096245,85189.9532519804,130275.813682357,45860.8719652137,64271.8102266596
1500,757109.196038046,100364.467972337,61209.0619056523,24176.4705144122,4359.8568426239,1026772.9425415,2620133.69455017,79913.8440678533,228412.365356762,26802.2324746633,69660.4619747116,4295.15606005452,9447.25084741205,677044.142849371,1039670.30803978,80137.1144133331,122277.10999112,41226.5582075934,57726.815229847
1550,745725.530684994,98509.4110983342,59129.7955012412,23101.3233085337,4144.21219031098,986232.710651372,2496571.65167238,77541.0538286182,219779.616782227,25797.2050100191,66376.2002424407,4101.2628429334,8965.98019375098,630436.225224284,966104.721675282,75458.7998414133,114891.452460536,37151.2704950828,51977.4939066152
