PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,4f5,4f7
1000,70044.1850026081,1101.68174509451,569.070269123698,-53.2392498267066,4047.22628218196,-63.2512726705699,-190.006789723461,65.4950202701672,38.6742781419755,-7.69531315965092,-20373.0169311887,0.0329718539897857,-0.321543576861853,-24.4663108092359,-40.3471202762437,0.0208792498267237,0.072650323337798,-0,-0
1050,61626.1162847365,971.691649223607,517.099215776794,-49.745318807831,3811.75118148932,-53.7392756921913,-160.613357552458,58.0314088315745,32.9048969007102,-7.29514941201474,-17174.318044305,0.0301423824271937,-0.303810982920158,-19.3312750023932,-31.6496888213258,0.0163680773996603,0.0579707034429157,-0,-0
1100,54486.6082661606,861.258913987485,471.255952538323,-46.5564723406224,3595.57512671534,-45.9352042696965,-136.6405499384,51.5953293764428,28.1528866640815,-6.92108284527839,-14602.1007880369,0.0276132470894841,-0.287318183964936,-15.4227274744229,-25.0820599413083,0.012947235725457,0.0466260577918685,-0,-0
1150,48393.7759869346,766.851598124139,430.664383841907,-43.6397544965287,3396.68020829078,-39.4859091997575,-116.938666332728,46.0222304692183,24.2129376983882,-6.57107613005714,-12511.4903262811,0.025346729510297,-0.271960754540092,-12.4147482209198,-20.0648285271779,0.0103270428726632,0.0377801301273244,-0,-0
1200,43164.1640428256,685.674724176465,394.594408807803,-40.9664212660133,3213.30292113797,-34.1202506705449,-100.631570684361,41.1774207247586,20.9260842284718,-6.24327645420506,-10795.8063504854,0.0233105501243374,-0.2576445138155,-10.0761820278213,-16.1908471779984,0.00830129634443691,0.0308248853138052,-0,-0
1250,38651.3878273263,615.497202670005,362.434323079723,-38.5113225620038,3043.89687546035,-29.6280974315557,-87.0449809956914,36.9500454014173,18.1681997937838,-5.93599656665066,-9375.35739555981,0.0214769870152822,-0.244284382637346,-8.24087145246001,-13.1699594198836,0.00672145183941788,0.0253134642468164,-0,-0
1300,34737.7122157315,554.523644238721,333.669023200204,-36.2523860942517,2887.10170252107,-25.8451743387144,-75.6551835138275,33.2483941310178,15.8415928538829,-5.64769799317894,-8189.8299641838,0.0198221525192541,-0.231803383023962,-6.7878903095424,-10.7926798933569,0.00547930267099626,0.0209141545050695,-0,-0
1350,31327.7417003674,501.298386541236,307.862676737873,-34.1701845537328,2741.71701048972,-22.6420062997491,-66.0519187094576,29.9962211754505,13.8688050145661,-5.37697615025304,-7193.0280974976,0.0183253968170886,-0.220131760547408,-5.62821311217511,-8.9059358285355,0.00449520178314372,0.0173783982761031,-0,-0
1400,28343.6457971621,454.632914342851,284.644854912493,-32.2475712370464,2606.68047748206,-19.915766298515,-57.9112259894278,27.1298414375485,12.1879911726373,-5.12254712058906,-6349.17903269055,0.0169688141708647,-0.209206212967889,-4.69559502386873,-7.39661956269511,0.00370995010060415,0.0145182992246325,-0,-0
1450,25721.512801978,413.550453893439,263.69936871113,-30.4693721386861,2481.04934996711,-17.584205549702,-50.9753698374539,24.5958249031556,10.749447390762,-4.88323588623882,-5630.30048195427,0.0157368325053978,-0.198969210941887,-3.94024867271632,-6.18028071676385,0.00307914297121034,0.012190636147664,-0,-0
1500,23408.5411771037,377.243305521006,244.755229899409,-28.8221248265806,2363.98475681236,-15.5810923044098,-45.0378573822664,22.3491557344887,9.51297947529174,-4.6579658422852,-5014.29904465063,0.0146158709596148,-0.189368398687674,-3.32440530882823,-5.19325061151651,0.00256918554593613,0.0102853851464765,-0,-0
1550,21360.8586135633,345.039714990811,227.579292680125,-27.2938562312399,2254.73836138957,-13.8527546525727,-39.9321547323301,20.3517543784832,8.44589292614191,-4.44574943764788,-4483.57954148514,0.0135940531011643,-0.180356064230403,-2.81916239405368,-4.38709047993979,0.00215445478317466,0.0087173995830437,-0,-0
