PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,4f5,4f7
1000,698803.32540351,106076.650374862,82305.9936333876,41232.9943813629,11794.7162251416,1578662.68949276,4708061.71988072,97904.2297193113,352374.266059643,37520.2043159241,140885.105549192,10258.9517295617,31844.3836819009,2012421.25518146,3234394.81020158,196804.164149445,313726.536985735,357236.658951972,501496.260433341
1050,689790.572647424,104312.660361936,79454.646315864,39214.7587195243,11041.3649948233,1518080.53978599,4477838.93254465,95292.5070606809,339272.786672712,36234.4482990154,133655.230977979,9763.73898476875,29863.2835171886,1859546.78781066,2977749.62215049,184993.078725814,293899.905524191,315823.359049551,442635.388439745
1100,680939.153833582,102589.664660995,76747.0143955648,37339.7364429746,10358.5766232164,1460549.00790323,4262281.72607736,92773.546393184,326816.891995862,35008.2346630253,126926.889119886,9302.27997212254,28052.7852394928,1721138.04703027,2746402.88897019,174072.536067321,275644.836399572,280151.025543162,392034.59122644
1150,672245.381940483,100906.443226362,74173.6622396816,35594.7555940825,9737.76951870421,1405878.83628997,4060245.4695617,90343.2476927591,314967.156087415,33838.1067923189,120656.574245884,8871.63025736381,26394.3229442238,1595567.02688972,2537394.47980901,163962.13250321,258812.362260094,249300.066393648,348354.738769777
1200,663705.672284856,99261.8201738147,71725.9130708289,33968.120231666,9171.63122841042,1353894.66618418,3870690.79427137,87997.7271136868,303687.014340345,32720.8483427285,114805.282730327,8469.1561585892,24871.7523246766,1481416.97341701,2348162.99557671,154589.882620621,243269.871882314,222517.037055835,310501.526625291
1250,655316.539184376,97654.6619016554,69395.7770779727,32449.4166746673,8653.89933970162,1304433.86228439,3692672.4927401,85733.3037796974,292942.523700611,31653.4638534894,109337.974525255,8092.49648530656,23470.984978375,1377451.47386731,2176485.28341729,145891.220333079,228899.076894573,199181.380028903,277575.893319358
1300,647074.59274525,96083.8753034922,67175.8873347674,31029.3487446902,8179.18532071683,1257345.44957283,3525329.73397343,83546.4874908585,282702.145606554,30633.1611352781,104223.107431574,7739.52963512322,22179.6851153371,1282588.56158114,2020426.11463598,137808.132002503,215594.259827421,178779.441236564,248835.409681249
1350,638976.535769395,94548.4060676996,65059.4425723734,29699.5971559187,7742.83193744808,1212489.15040187,3367877.42201479,81433.9672753446,272936.549253315,29657.3352527163,99432.2332331884,7408.34521070584,20987.0168507714,1195878.94561248,1878296.15857187,130288.402425206,203260.760739283,160884.042054735,223664.015834365
1400,631019.160776214,93047.2370588151,63040.1559825727,28452.6990946419,7340.79712178779,1169734.51133612,3219598.54989755,79392.6007212474,263618.433063962,28723.5539401701,94939.6465609976,7097.21946363722,19883.4327142906,1116487.6456944,1748616.75631427,123284.957525163,191813.666725729,145138.322091795,201548.154081024
1450,623199.347134157,91579.3867764241,61112.209336718,27281.9447451753,6969.55882313895,1128960.11045142,3079837.42197098,77419.4040290681,254722.362491651,27829.5443076261,90722.0788327043,6804.59398885017,18860.4959075855,1043678.44909004,1630090.29028911,116755.290113868,181176.674424846,131242.886450783,182057.83510541
