PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,4f5,4f7
1000,681009.397476694,104404.638808279,81267.4447131796,41088.3251743715,12271.5371134357,1574452.52981967,4724643.2568186,96412.1271415506,352114.479629028,37064.1026999002,143071.295205308,10577.7040459812,33792.471908654,2067346.50287734,3330620.80050264,200817.84861907,320847.09407198,386499.616681124,542259.831174909
1050,672422.879363048,102702.049196595,78499.8286236579,39110.7940163147,11490.0829603652,1515108.11286208,4496797.09403225,93898.3832145909,339238.047389449,35827.0620987414,135815.7731645,10075.7042545956,31700.534873039,1912091.81788228,3069002.61830442,188954.276711385,300863.149878196,342093.044615599,479165.51959533
1100,663986.6717189,101038.275290123,75869.4591750498,37271.3338105406,10781.759616594,1458700.4026435,4283272.03822843,91471.9523096957,326986.041753098,34645.8584666642,129057.887924844,9607.38610711201,29788.0133106449,1771368.55270217,2832926.53933249,177971.96177303,282441.626789511,303791.663070222,424854.539510759
1150,655697.414514582,99412.1835414242,73367.4658022374,35557.443272291,10137.6721499064,1405050.27955459,4082964.79953811,89129.058776364,315320.918150479,33517.3305326507,122754.942439508,9169.85511649918,28035.4517544602,1643558.3813244,2619431.33546525,167792.46880747,265436.359369109,270625.106227256,377913.619588012
1200,647551.838961378,97822.6806724572,70985.6805331783,33958.0007599416,9550.24199128887,1353991.56090622,3894872.26728581,86866.1217961301,304207.815609332,32438.5314277824,116868.611229616,8760.5179113675,26425.9241515479,1527250.85341128,2425951.12605568,158345.462175663,249717.028211049,241797.042537691,337186.030655755
1250,639546.764600146,96268.7119927268,68716.5724159214,32463.085844582,9012.9794536146,1305369.92469865,3718081.07571982,84679.7437283402,293614.335203907,31406.7117982097,111364.422881372,8377.04567422272,24944.6530326449,1421213.2757258,2250255.92060191,149567.757326847,235167.214182983,216650.579605668,301719.982948153
1300,631679.096496535,94749.2597980322,66553.1889637386,31063.8271994926,8520.30088722385,1259041.9344482,3551758.39184565,82566.6992471344,283510.339191596,30419.3044286809,106211.311790972,8017.34263063616,23578.6934838319,1324365.43399537,2090402.06872333,141402.496255995,221682.71867953,194641.187009617,270728.367977966
1350,623945.822538413,93263.3418454657,64489.1037739717,29752.2724683109,8067.38072627483,1214874.15452524,3395143.76683052,80523.9252096405,273867.768686681,29473.9102257387,101381.228859366,7679.51881023794,22316.6696809338,1235758.30348809,1944690.81180196,133798.4289367,209170.109931973,175315.370364684,243557.148622004
1400,616344.010831294,91810.0099005691,62518.3695886867,28521.2765593593,7650.03101174399,1172742.34666519,3247541.91495204,78548.5112004035,264660.477966613,28568.285426301,96848.8025186098,7361.86643269606,21148.5542778913,1154556.05896729,1811633.48690231,126709.285748934,197545.461943111,158293.774954041,219660.387822843
1450,608870.80718777,90388.3483527998,60635.4761613179,27364.4054463247,7264.60270470412,1132530.73937272,3108316.30310737,76637.6907016326,255864.083721424,27700.3299119635,92591.0428538376,7062.83937967198,20065.4829044011,1080020.82381675,1689922.21438134,120093.228225394,186733.257991725,143257.72298745,198580.407002987
1500,601523.432707114,88997.4728956867,58835.3123757722,26275.8530654906,6907.9043949532,1094131.36286643,2976883.4500519,74788.8328429946,247455.827745513,26868.076522245,88587.0827265417,6781.03530200694,19059.5975617792,1011499.70125933,1578405.12298052,113912.367362101,176665.43509494,129938.428807235,179931.933192607
1550,594299.181441403,87636.5292682698,57113.132135097,25250.369312697,6577.13498346729,1057443.44302611,2852707.84827127,72999.4346884572,239414.45173685,26069.681271363,84817.9507508499,6515.17998392062,18123.9139105095,948413.713312617,1476065.34311404,108132.340346463,167280.549501824,118108.314886369,163389.366248089
1600,587195.418144681,86304.6920546155,55464.5235975795,24283.1974790491,6269.82765662951,1022372.84852114,2735297.43309614,71267.1140211218,231720.083014411,25303.4143831783,81266.371761034,6264.11364582161,17252.2083941909,890248.339746358,1382003.14044302,102721.937904285,158523.046356397,107573.985045346,148676.500640657
1650,580209.576101826,85001.1635383882,53885.3813905392,23370.0197386782,5983.80303615543,988831.585929452,2624199.53366869,69589.6025901203,224354.130093168,24567.6520678417,77916.5910644476,6026.77891684044,16438.9218998011,836545.403175298,1295420.67527594,97652.7756009626,150342.619224662,98170.5119366104,135558.18877885
1700,573339.155033933,83725.1726096307,52371.8814773468,22506.9095267422,5717.12982486925,956737.338213303,2518997.24893054,67964.7397865118,217299.187169309,23860.8689715553,74754.2193228601,5802.21024931744,15679.0772567953,786896.090143615,1215608.96474697,92899.0033878827,142693.647318562,89756.7721242991,123833.548059417
1750,566581.719077189,82475.9737210719,50920.4583924052,21690.2898309617,5468.09160697793,926013.042409579,2419306.19914595,66390.4667177218,210538.94666853,23181.6312378617,71766.0953655859,5589.5245817446,14968.20836071,740934.933675584,1141936.69866779,88437.0484929142,135534.700043207,82211.6202650806,113330.401463564
1800,559934.894832311,81252.8458914318,49527.7845928371,20916.8965729154,5235.1587258147,896586.502827457,2324771.60978937,64864.820652457,204058.119098867,22528.5901250871,68940.1646252334,5387.91308530621,14302.2990961252,698334.611886573,1073840.61998916,84245.3874382115,128828.100001859,75430.7385275321,103900.708542213
1850,553396.369481787,80055.0917533385,48190.7517051958,20183.7463821092,5016.96436967994,868390.036431343,2235065.69006593,63385.9298102072,197842.359528076,21900.4761300976,66265.3712137907,5196.63385318444,13677.7305487138,658801.441136306,1010817.22973778,80304.3435497233,122539.53686462,69324.0318183939,95416.7951992356
1900,546963.888972259,78882.036643606,46906.4534712696,19488.1081713217,4812.28416048563,841360.1474287,2149885.27302952,61952.0084714422,191878.200075233,21296.0935734589,63731.5619333259,5015.00541199858,13091.2352519534,622071.461867577,952415.616309983,76595.9068174261,116637.725581377,63813.4660880625,87768.23056916
1950,540635.25625949,77733.0277337475,45672.1702195256,18827.478009779,4620.01867026717,815437.228385807,2068949.68832472,60561.3523864432,186152.987868131,20714.315605482,61329.4007501587,4842.40095178766,12539.8574228113,587907.031507819,898231.241840174,73103.5733872208,111094.103329981,58831.2678053596,80859.2303024987
2000,534408.329613515,76607.4331987186,44485.3547083889,18199.5568644458,4439.178394736,790565.285464245,1991998.84209751,59212.334462378,180654.827973083,20154.0795965663,59050.2924608379,4678.24318535941,12020.918311677,556093.852257238,847900.545397766,69812.2023261046,105882.560363689,54318.4190006247,74606.4898118822
2050,528281.020981618,75504.6414219948,43343.619204762,17602.2308416542,4268.87079661041,766691.685611119,1918791.48167526,57903.4007097716,175372.530852811,19614.3828787634,56886.3144482973,4521.9997600532,11531.9859323813,526438.372757604,801096.245094866,66707.8876111965,100979.200579962,50223.3951136412,68937.3700680175
2100,522251.294406932,74424.0602351918,42244.7236762856,17033.5536134672,4108.28909885531,743766.923750104,1849103.62527282,56633.0664309287,170295.563951775,19094.2788086243,54830.1555718494,4373.17915535873,11070.848554128,498765.511942696,757523.23968676,63777.8435584046,96362.1281939343,46501.1030338884,63788.3735529717
