PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,4f5,4f7
1000,646992.862754006,101123.625343917,79089.0644732678,40698.3780973571,13167.9337847173,1564415.41718656,4751130.57415596,93387.8883854075,351111.793685523,36119.9631194211,147319.891403574,11196.2389395529,37853.7219128341,2175755.12467721,3522263.63144284,208406.025078575,334534.545412983,446433.981705238,625733.464518975
1050,639191.573750223,99537.0001633274,76486.0345220549,38805.2811552738,12334.7074120964,1507516.51951756,4528254.89340094,91060.7685408714,338688.243851236,34976.304011843,140022.840319828,10682.7463678191,35534.9937887516,2016053.7166674,3251110.2942099,196474.44011891,314293.488416549,396035.746309315,554160.528688214
1100,631520.96702358,97985.2012022162,74007.9659374691,37040.0956865282,11579.3055279054,1453337.56551557,4319019.2584499,88810.9881107976,326848.3032216,33881.6909953325,133215.120632603,10202.6288719582,33413.3835291606,1870977.97596022,3005928.39266853,185403.209023122,295592.167283125,352454.353961538,492394.728339852
1150,623978.245900231,96467.248777836,71647.0317560481,35391.6028238595,10892.2612330812,1401718.16861464,4122399.74964174,86635.3446046803,315557.951595741,32833.4829323572,126855.653317007,9753.10378230402,31467.6829358656,1738932.83554867,2783761.6983173,175117.91083188,278290.272660494,314622.830612126,438881.371872251
1200,616560.686436525,94982.1967455642,69396.0062864787,33849.7840683675,10265.5104014747,1352509.14868082,3937463.09428079,84530.7938801133,304785.527849189,31829.209213601,120907.477011151,9331.66960422918,29679.421387151,1618524.00720709,2582041.72634871,165551.600348435,262262.325438866,281662.793523751,392344.021931929
1250,609265.635195777,93529.131148642,67248.2106447795,32405.6706639353,9692.14879041797,1305571.62960771,3763357.45651241,82494.441061762,294501.540884104,30866.5569612062,115337.270550901,8936.07282689853,28032.4564133969,1508529.45793984,2398530.41594205,156643.95602735,247395.899992276,252847.481336146,351729.275746589
1300,602090.507103049,92107.1689303127,65197.4639505475,31051.2145440601,9166.23692682616,1260776.21897472,3599304.27999451,80523.5320517032,284678.497723099,29943.359323389,110114.938115688,8564.27919333201,26512.6335023284,1407875.38353915,2231272.20330009,148340.536176498,233590.084575138,227572.711308061,316163.528955466
1350,595032.783374844,90715.4567051079,63238.0395224349,29779.1773941497,8682.64230900952,1218002.26147035,3444591.05002039,78615.4455881006,275290.747015365,29057.5847564169,105213.247856958,8214.44876176854,25107.5021364775,1315615.90259232,2078553.80323731,140592.128324129,220754.144076996,205333.924755196,284918.910010417
1400,588090.00952078,89353.1695862203,61364.6254967356,28583.0349828836,8236.91097447878,1177137.1587041,3298564.86023869,76767.6858126386,266314.336416031,28207.3272008675,100607.51634115,7884.91419913219,23806.0777373915,1230915.83967761,1938870.34217586,133354.178908833,208806.355891266,185707.939192132,257386.280128392
1450,581259.793414409,88019.5100660767,59572.2893665249,27456.8944093396,7825.16234173456,1138075.74884103,3160626.68482665,74977.8753102911,257726.882468788,27390.797068768,96275.3323457261,7574.16183826115,22598.6412681939,1153036.08263093,1810896.74425354,126586.292377476,197672.994251235,168338.362014621,233053.712067893
1500,574539.803430493,86713.7069473899,57856.446002074,26395.4223126191,7444.00262124231,1100719.74020658,3030226.27035281,73243.7485878762,249507.451770596,26606.3129667934,92196.3145472131,7280.81510534045,21476.5698704569,1081321.09193375,1693463.47806097,120251.790391317,187287.442204636,152923.869678585,211489.24340696
1550,567927.766646139,85435.0143221245,56212.8287678199,25393.7824166251,7090.45313542423,1064977.19363811,2906857.57298684,71563.1459604808,241636.452328502,25852.2940883182,88351.8984724299,7003.61998575399,20432.1931889515,1015188.21531802,1585535.93589495,114317.323197648,177589.413578211,139208.742181018,192326.984224198
1600,561421.467103351,84182.7105959536,54637.4633983028,24447.5810492733,6761.89068042313,1030762.04891557,2790054.67648521,69934.0078172404,234095.534134503,25127.2532138884,84725.1487784197,6741.43224777914,19458.6710482168,954118.521371873,1486196.84924582,108752.526367629,168524.269939992,126975.182243769,175255.871817501
1650,555018.744130602,82956.0975559226,53126.6443362939,23552.8194944004,6455.99766879513,997993.691094541,2679388.13475977,68354.3692401618,226867.498086775,24429.7902657019,81300.5935078163,6493.20618614081,18549.8889481148,897648.915192696,1394631.25040334,103529.717066599,160042.41979191,116037.054139568,160010.525384962
1700,548717.490721196,81754.4994791618,51676.913271743,22705.8522151744,6170.7202593524,966596.553000316,2574461.69003422,66822.3549516892,219936.212476353,23758.5863670612,78064.077454216,6257.98468298555,17700.3684872752,845365.339271593,1310113.57590319,98623.6248406393,152098.789093904,106234.75738715,146363.775139068
1750,542515.651966225,80577.2622806105,50285.0396509475,21903.3501371882,5904.2330425514,936499.750526909,2474909.32379085,65336.1745685616,213286.536338734,23112.3983625465,75002.6321828066,6034.89041359092,16905.1903385048,796896.895610498,1231996.57720072,94011.1525969476,144652.353794037,97431.0119846321,134120.533055821
1800,536411.223540069,79423.7526978266,48948.0029521538,21142.2683034636,5654.9091324658,907636.747727694,2380392.60305679,63894.1181412015,206904.249041301,22490.0537589435,72104.3605981734,5823.11804910878,16159.9278157036,751910.751998228,1159701.76070581,89671.1640456314,137665.726367259,89507.3791390652,123112.743619785
1850,530402.250236445,78293.3575110627,47662.9765471885,20419.8173169346,5421.29473830489,879945.048988508,2290598.28919986,62494.551959428,200775.985540918,21890.4460507818,69358.3342446122,5621.9273296817,15460.5894083577,710107.717535155,1092711.12570154,85584.2943736188,131104.78948934,82361.3780446452,113195.207837627
1900,524486.824553096,77185.4827968874,46427.3129891652,19733.4380723628,5202.08746369621,853365.915845021,2205236.18040647,61135.9146067149,194889.176802548,21312.5303977738,66754.5017732559,5430.63689903997,14803.5689334254,671218.390798817,1030560.00672044,81732.7813511247,124938.370925755,75904.0877293902,104242.116393384
1950,518663.085323308,76099.5532137262,45238.5305842169,19080.7793520742,4996.11772112203,827844.106247611,2124037.1624862,59816.7132465241,189231.994920099,20755.3196245087,64283.607222125,5248.61880673517,14185.6021780021,634999.799203929,972830.858267633,78100.3144390676,119137.954525808,70058.1452465447,96144.1610386111
2000,512929.216392494,75035.0113177811,44094.3011209114,18459.6779208269,4802.33275999784,803327.634292324,2046751.44566568,58535.5201254488,183793.302525581,20217.8805155206,61937.1169358273,5075.29359694306,13603.729089464,601232.460706897,919147.845634811,74671.8997814972,113677.422902848,64756.0689717458,88806.1193431545
2050,507283.44533819,73991.3169078723,42992.4386448124,17868.1408065084,4619.78289601711,779767.548628894,1973146.96766199,57290.9692790128,178562.606112832,19699.3303813211,59707.1541060152,4910.12591364636,13055.2607206514,569717.809501209,869172.126961157,71433.7392384458,108532.827971183,59938.8495669307,82144.828429481
2100,501724.042231838,72967.9463978245,41930.8891777925,17304.3294968375,4447.60960124539,757117.727928837,1903007.94561798,56081.7534269874,173530.012937917,19198.8338732165,57586.4400459754,4752.62056129092,12537.7502622575,540275.93612093,822597.729483781,68373.1218483449,103682.186014962,55554.7621123298,76087.4795258851
2150,496249.318440826,71964.3922150899,40907.7212924184,16766.545819116,4285.03517264594,735334.691950658,1836133.56148375,54906.621046035,168686.191190444,18715.6000267363,55568.2414262884,4602.31896795066,12048.9675978695,512743.599718563,779147.937737556,65478.3263108378,99105.2943970936,51558.3616185735,70570.1780535191
2200,490857.625469306,70980.1622243714,39921.1174611818,16253.2193014429,4131.35374406231,714377.426877227,1772336.76718109,53764.3736083471,164022.333158825,18248.8795153036,53646.322796216,4458.79600484662,11586.876902994,486972.476457553,738572.123843049,62738.5332551963,94783.5673881435,47909.6310951091,65536.7242374436
2250,485547.353836386,70014.7791750742,38969.3661087128,15762.8958405455,3985.92344535913,694207.223724256,1711443.19742317,52653.86297575,159530.121138376,17797.9620974115,51814.9037997406,4321.65712191873,11149.6168810577,462827.613159952,700642.960390996,60143.746210581,90699.8889153088,44573.2569412334,60937.577462821
2300,480316.931990307,69067.7801714748,38050.854302517,15294.2275242415,3848.15954414607,674787.528730005,1653290.17940973,51573.9889394863,155201.695854324,17362.1742420398,50068.620567982,4190.53576419045,10735.4832893433,440186.059740723,665153.965141578,57684.7203254283,86838.4803077815,41518.0109305099,56728.9742166244
2350,475164.825257346,68138.7161645522,37164.0610243456,14845.9634761374,3717.52843163308,656083.804736406,1597725.82980334,50523.6968965612,151029.627192678,16940.8769183777,48402.4908327558,4065.09103801837,10342.9134581644,418935.657676787,631917.334091102,55352.8979971408,83184.7813534666,38716.2217025192,52872.1747985868
2400,470089.534824143,67227.1514644851,36307.5509701405,14416.9416069927,3593.5423357561,638063.40266174,1544608.23043571,49501.9756541739,147006.887050719,16533.4635371212,46811.8823607096,3945.00560008375,9970.47254896463,398973.96491215,600762.025650241,53140.3506724203,79725.3431886811,36143.3216330672,49332.8183143112
2450,465089.596752303,66332.6632728642,35479.9688316842,14006.0811716618,3475.75466262379,620695.442246161,1493804.67511299,48507.8553543339,143126.824135744,16139.3580317054,45292.4843549958,3829.98374524572,9616.84133280979,380207.300281887,571532.063917485,51039.7261650527,76447.7317216887,33777.4573626786,46080.3689834053
2500,460163.581024073,65454.841233722,34680.0340177042,13612.3760430234,3363.75588224434,603950.701324413,1445190.98070165,47540.4055113014,139383.140556027,15758.0130688178,43840.2815128078,3719.74967221001,9280.80530103221,362549.892822986,544085.033475651,49044.2009134799,73340.4404466395,31599.1542317464,43087.639667262
2550,455310.090618023,64593.2870025254,33906.5357763015,13234.8886251098,3257.16988694394,587801.512946156,1398650.85639447,46598.7331549901,135769.870061684,15388.908378437,42451.5304631927,3614.04590843305,8961.24494550185,345923.123291906,518290.741917693,47147.4366665694,70392.811640011,29591.0264847661,40330.3808718028
2600,450527.760613646,63747.613832321,33158.3286842512,12872.7443370083,3155.65076132155,572221.66972391,1354075.3256926,45681.981073929,132281.357805622,15031.5491944542,41122.7383410831,3512.63187783083,8657.12706787775,330254.8468793,494030.029527395,45343.5411438785,67594.9650497783,27737.526433667,37786.9254108421
2650,445815.257323865,62917.4461762619,32434.3284720128,12525.1266072346,3058.8799113543,557186.33484258,1311362.19620323,44789.3261518104,128912.241505994,14685.464797674,39850.6432810811,3415.2825967398,8367.49699586087,315478.787545131,471193.70828959,43627.0322675058,64937.7332906945,26024.7268655241,35437.8805058078
2700,441171.277454463,62102.4193057853,31733.5081562304,12191.2723253445,2966.56350766032,542671.959213322,1270415.57285303,43919.9777920443,125657.433901795,14350.2071536647,38632.1966387213,3321.78748521938,8091.47160043277,301533.995628759,449681.614756896,41992.8056072604,62412.6032492644,24440.1318862376,33265.8604112836
2750,436594.547289497,61302.1789437459,31054.8944541416,11870.4677037113,2878.43020417679,528656.204298769,1231145.41056249,43073.1764251106,122512.106402453,14025.3496385405,37464.5467681777,3231.94928222566,7828.23302174644,288364.361448786,429401.76331705,40436.1047201562,60011.662880999,22972.512143839,31255.2537444135
2800,432083.821901783,60516.3809118426,30397.5644566822,11562.0445077754,2794.22909881005,515117.870176703,1193467.1028223,42248.1920938366,119471.673840684,13710.4858463138,36345.0242040612,3145.58305444954,7577.02302309108,275918.178522083,410269.588137933,38952.4940998551,57727.5528518416,21611.7610009215,29392.0206007697
2850,427637.884387587,59744.6907917121,29760.6425391999,11265.3766177767,2713.72790712017,502036.828445664,1157301.10296546,41444.3231120489,116531.780245443,13405.2284719691,35271.1281114062,3062.51528972406,7337.13790247259,264147.750821949,392207.263559257,37537.834482227,55553.4225365281,20348.76874788,27663.5152929977
