PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,4f5,4f7
1000,542823.69299177,90335.555690773,70690.9573643643,38493.9750849467,13781.2674619033,1515476.50224538,4780637.01861937,82683.2603861409,343274.790425969,32697.3189232648,160933.994008383,13108.9919835703,53471.240963456,2535440.93168658,4176447.50308515,229761.611792371,375682.177199006,657689.555215023,920165.856530629
1050,537189.496968322,89091.4800888188,68624.1330123395,36909.5299522486,12930.5934679461,1466695.07251126,4576755.71247947,80915.7595806584,332425.639079757,31834.4131601059,153581.48256803,12576.4433895498,50336.7456148181,2363498.64591662,3876503.45712059,217957.31400956,355123.726541888,587688.971337891,820765.81631831
1100,531636.708154489,87871.4268571379,66645.9327842045,35420.2234500588,12158.7385982516,1419984.79131935,4384254.64138897,79198.8282799333,322033.424353826,31002.5029165375,146685.286270765,12074.7969866432,47458.7725990509,2206157.86840102,3603451.45126758,206921.05985126,335987.211110807,526649.833068757,734277.990540366
1150,526163.821756392,86674.8005957963,64751.3810810921,34018.6158144272,11456.1180643805,1375236.90140685,4202352.77674822,77530.6592093877,312074.20116431,30200.1852059186,140209.865164095,11601.741040309,44810.6600024567,2061937.89656024,3354418.87526259,196592.663414479,318154.365837322,473240.648706117,658756.193829745
1200,520769.366819718,85501.0238860525,62935.8458346638,32697.9789982197,10814.5729182812,1332349.42698621,4030332.43038684,75909.5223774049,302525.520296314,29426.1334044544,134122.990933097,11155.1741855879,42369.0784426709,1929531.72632046,3126887.44224394,186917.432949814,301518.369187456,426353.86604066,592586.196500888
1250,515451.905334373,84349.5366510305,61195.0104767054,31452.2166186006,10227.1215503711,1291226.68551234,3867533.34889167,74333.7612355885,293366.320213535,28679.092408351,128395.389321624,10733.1829942668,40113.5475883455,1807783.01036374,2918643.84287483,177845.600284462,285982.584906915,385064.016866509,534422.819531863
1300,510210.031366361,83219.7955425106,59524.8485383316,30275.7942054603,9687.76047031006,1251778.83921119,3713347.42837326,72801.7890559919,284576.827736899,27957.8741408135,123000.42628399,10334.0222730232,38026.0320962503,1695666.41440808,2727738.02932212,169331.816473915,271459.458234654,348594.433267529,483140.087289037
1350,505042.370215943,82111.2733526334,57921.6006008265,29163.6782644155,9191.30347941385,1213921.48276359,3567213.97734356,71312.0855116,276138.466781346,27261.3533805887,117913.831912673,9956.09772020216,36090.602464107,1592270.82174364,2552447.83635152,161334.705207395,257869.545699122,316290.633528612,437791.501765245
1400,499947.577601176,81023.4584493759,56381.7533527508,28111.2829048769,8733.25098380055,1177575.26389809,3428615.46462098,69863.1934473012,268033.774421545,26588.4638862797,113113.457078387,9597.95062490483,34293.1491999909,1496784.93281121,2391248.88431649,153816.466674674,245140.660688138,287598.928798214,397578.210932812
1450,494924.338865978,79955.8542347157,54902.0205363611,27114.4229793596,8309.68314397203,1142665.53396698,3297073.6971399,68453.7158294744,260246.323629982,25938.1947929457,108579.058464731,9258.24433889449,32621.1409819127,1408484.88491692,2242788.89941463,146742.525606176,233207.119570545,262049.139770442,361823.37029232
1500,489971.368211876,78907.9786244539,53479.3255911893,26169.2728424373,7917.17200511946,1109122.0258662,3172146.37941128,67082.3128631331,252760.652095677,25309.5872595584,104292.108306103,8935.75229109438,31063.4192710272,1326723.58091877,2105865.74015686,140081.218053004,222009.075329054,239240.566642272,329951.390508256
1550,485087.407952645,77879.3635487204,52110.7858243291,25272.3299726993,7552.70883983167,1076878.55691517,3053424.01232173,65747.699266326,245562.196589572,24701.7313477542,100235.625665143,8629.34734747048,29610.0232590833,1250921.46779262,1979408.54322219,133803.512202686,211491.927507285,218830.547629684,301471.060585163
1600,480271.227791072,76869.5544722335,50793.6979559824,24420.3828137166,7213.64375785857,1045872.75454134,2940527.09410417,64448.6416921913,238637.232394312,24113.7631140026,96394.0265315189,8337.99234694486,28252.0401586685,1180558.54867111,1862461.50274318,127882.759149733,201605.798836024,200525.087419911,275961.760806597
1650,475521.624117092,75878.1099334319,49525.5249055023,23610.4822843466,6897.63526527204,1016045.8028193,2833103.5907791,63183.956289712,231972.817362316,23544.8618988452,92752.9904012079,8060.73166754049,26981.4767469948,1115167.44705911,1754169.87927611,122294.470074159,192305.070230235,184071.148749434,253062.151063432
1700,470837.41932659,74904.6011016417,48303.8836978386,22839.9164879334,6602.60793762925,987342.208097573,2730826.64724921,61952.50639482,225556.74020745,22994.2477982364,89299.3413156691,7796.6836969364,25791.1487990391,1054327.3709,1653767.90194581,117016.116739484,183547.966977486,169250.286363327,232460.851677523
1750,466217.461160186,73948.6113514825,47126.5343832029,22106.1882167055,6326.71674484767,959709.582111004,2633392.5136114,60753.2003440479,219377.472672677,22461.1793032816,86020.9416129473,7545.0340985992,24674.5856312243,997658.848149206,1560568.28243269,112026.952616112,175296.189901723,155873.369223396,213888.735249486
1800,461660.622061338,73009.7358537533,45991.3698741664,21406.9949040612,6068.31685605877,933098.441124908,2540518.66420156,59584.9894034511,213424.125249364,21944.9510958034,82906.5968752774,7305.02977913828,23625.94745148,944819.125421791,1473953.10490211,107307.852275786,167514.586109809,143776.188658926,197112.526719269
1850,457165.798553115,72087.5811820805,44896.4066144614,20740.210725214,5825.93798039807,907462.019789966,2451942.08946583,58446.8658059927,207686.406153846,21444.8919882058,79945.9707566382,7075.97347490755,22639.9535980233,895498.137861576,1393365.89350361,102841.166996318,160170.854633816,132815.790680396,181929.470150033
1900,452731.91063305,71181.7649346409,43839.7760026638,20103.8705872508,5598.262479178,882756.098506827,2367417.74300942,57337.8608910337,202154.583293726,20960.3629970511,77129.5085441484,6857.21888647751,21711.8200651745,849414.972224856,1318304.69016121,98610.594769639,153235.282887759,122867.402520593,168162.868789072
1950,448357.901185462,70291.9153703084,42819.7165018172,19496.1557842326,5384.10662718366,858938.843207344,2286717.12815287,56257.0433399804,196819.448980641,20490.7555406206,74448.3684536025,6648.16629870423,20837.2049738596,806314.756766225,1248316.00121709,94601.0631262343,146680.510378467,113821.8486061,155658.342779281
2000,444042.735410686,69417.6710586036,41834.5663730594,18915.3811224821,5182.40451424724,835970.656556708,2209627.01006344,55203.5175025237,191672.287168012,20035.4897515151,71894.3597854803,6448.25863195407,20012.1608580783,765965.921248965,1182989.4930273,90798.6233800551,140481.316559412,105583.371096069,144280.678803272
2050,439785.400270652,68558.6805428549,40882.7569775305,18359.9833464722,4992.1941691218,813814.039668732,2135948.24105756,54176.4218082631,186704.843012019,19594.0128960634,69459.887176479,6256.97787679905,19233.0928152352,728157.778597483,1121953.33460939,87190.3550641046,134614.430104052,98067.7860004163,133911.169699146
2100,435584.90395031,67714.6020160088,39962.8065963717,17828.5107174129,4812.60556083243,792433.463505978,2065494.68801568,53174.9272588364,181909.294571808,19165.7978929602,67137.9002755898,6073.84187033557,18496.7217147537,692698.386625318,1064870.10052723,83764.2794716209,129058.357210753,91200.9185849722,124445.36103763
2150,431440.275334353,66885.1030085534,39073.3147235564,17319.6136152757,4642.85019185954,771795.249208301,1998092.25203856,52198.235995987,177278.226481001,18750.3419241479,64921.8482551353,5898.40137733582,17800.0517813487,659412.654123176,1011433.15987556,80509.2813440439,123793.226842108,84917.2719644288,115791.136829302
2200,427350.563498776,66069.8600880431,38212.9567906889,16832.0360510689,4482.21204559483,751867.456658454,1933577.97152188,51245.5799412853,172804.605437127,18347.1651315022,62805.6386378027,5730.23744382868,17140.3419711788,628140.660553183,961363.487905579,77415.037857312,118800.651053882,79158.8909998317,107867.088736535
2250,423314.83721679,65268.5585697395,37380.4792868367,16364.607990059,4330.03968975088,732619.780652404,1871799.2007536,50316.2195034883,168481.757368744,17955.8093933786,60783.5999821168,5568.95899452206,16515.0806444017,598736.162812776,914406.845852718,74471.9541546285,114063.598788387,73874.3902642745,100601.123017469
2300,419332.184478623,64480.8922379021,36574.695239974,15916.2383986485,4185.7393695622,714023.454095439,1812612.8569597,49409.4423497723,164303.346151979,17575.8371755316,58850.4480222703,5414.20064880176,15921.9631093282,571065.26612434,870331.282163163,71671.1047585202,109566.281698292,69018.1202373377,93929.2674117772
2350,415401.712024776,63706.5630772885,35794.4800297599,15485.9089380469,4048.76895107069,696051.157693752,1755884.72945233,48524.5622373012,160263.353758986,17206.830451337,57001.2549048929,5265.62073294242,15358.8716737599,545005.239173842,828924.914795255,69004.1802693572,105294.050733809,64549.4502860641,87794.6466681876
2400,411522.544892312,62945.2810144404,35038.7675041953,15072.6682369275,3918.63259663738,678676.935655261,1701488.84518073,47660.9179018145,156356.0617307,16848.389686629,55231.4212061222,5122.8994687017,14823.8578901193,520443.456245896,789993.95978287,66463.4388228738,101233.302371998,60432.1505850869,82146.6007088328
2450,407693.825973756,62196.7636683533,34306.5463752355,14675.6266831536,3794.87607293285,661876.116953545,1649306.88556085,46817.8720001169,152576.033875162,16500.1328848147,53536.6504480482,4985.73732068982,14315.1267242148,497276.451352473,753360.975945494,64041.6618367856,97371.3934946143,56633.8580769547,76939.9237599365
2500,403914.715588224,61460.7361101458,33596.8568707073,14293.9516815386,3677.08260672339,645625.241745272,1599227.64997077,45994.8101035409,148918.100100818,16161.6946882535,51912.9258649127,4853.85348685489,13831.0224142063,475409.071285154,718863.299642677,61732.1136273503,93696.5640328487,53125.6139995852,72134.2063378364
2550,400184.391064381,60736.9306313613,32908.7876219298,13926.8633306221,3564.86921634403,629901.992564734,1551146.56175573,45191.1397396321,145377.341301574,15832.7255321792,50356.4891969509,4726.98451813675,13370.0158176129,454753.716184391,686351.646905866,59528.504521526,90197.866595553,49881.4625098442,67693.2649115536
2600,396502.046334877,60025.086520553,32241.4727682785,13573.6304767082,3457.88345727949,614685.129949405,1504965.21299342,44406.2894794668,141949.075217149,15512.8908477216,48863.821313959,4604.88305484905,12930.6930709078,435229.657653894,655688.863227447,57424.9571299969,86865.1023839517,46878.101589426,63584.6464858839
2650,392866.891541896,59324.9498478165,31594.0892615968,13233.5671080352,3355.80052911915,599954.432178067,1460590.94463368,43639.7080681688,138628.843198369,15201.8703108285,47431.6244919871,4487.31666867802,12511.7454090938,416762.425687781,626748.803819726,55415.9754814089,83688.7627719038,44094.5787948587,59779.1973566908
2700,389278.152653472,58636.2732569522,30965.854354856,12906.0290560032,3258.32069860599,585690.638828281,1417936.45895247,42890.8635963347,135412.39781267,14899.3571341233,46056.8061853731,4374.06680035933,12111.9600122561,399283.256751085,599415.329337824,53496.4167492372,80659.9759978543,41512.0255585895,56250.6869585431
2750,385735.071090244,57958.8157649511,30356.0232608244,12590.4109739591,3165.16699979781,571875.397883023,1376919.46155059,42159.2427102118,132295.691230178,14605.057398945,44736.4641529534,4264.92778413203,11730.2117629387,382728.596284497,573581.403942554,51661.465330305,77770.4584738341,39113.4247039159,52975.4791152107
2800,382236.903362333,57292.3425685138,29763.8869677272,12286.1435671863,3076.08317769802,558491.216137387,1337462.33038925,41444.3498585961,129274.86433541,14318.6894250102,43467.8728119993,4159.70595098702,11365.4558127119,367039.649712377,549148.284206203,49906.6090584799,75012.4702692226,36883.4066364236,49932.2441652596
2850,378782.920716018,56636.6248573238,29188.7701999926,11992.6910505287,2990.8318462495,545521.412675508,1299491.80958834,40745.7065745397,126346.236513903,14039.9831753212,42248.4707064638,4058.2188035423,11016.7208688298,352161.976736137,526024.78877302,48227.6173588904,72378.7743733388,34808.0703457074,47101.7064081814
2900,375372.40878993,55991.4396338082,28630.0295131825,11709.5488125335,2909.19283545137,532950.075205536,1262938.72592407,40062.850790064,123506.296067006,13768.6796941076,41075.8489876941,3960.29425610069,10683.1031227293,338045.124307907,504126.639908326,46620.5211674283,69862.5993820055,32874.8259156126,44466.4221338239
