PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,4f5,4f7
1000,492356.428230965,84668.8645356842,65579.172902208,36827.3729805588,9227.40634187449,1480362.10871167,4759552.31770359,76691.1142663929,336395.905030173,30794.1643322696,167881.036546364,13991.4790843448,63014.6846380509,2723777.58449083,4532287.3420534,237898.791268146,393768.714056661,768821.89355296,1075499.65541343
1050,487645.727786348,83583.1604525902,63785.4798842558,35415.5735593828,8666.20165127717,1435836.20961433,4567117.11447085,75183.8742021516,326411.62297368,30060.0556219065,160549.186525735,13461.4177693837,59429.0866423438,2547114.32928064,4219223.65356098,226396.72101075,373406.280092669,689581.778176762,962889.38581451
1100,482997.832331503,82516.9988357959,62063.9448035575,34082.9035883196,8156.75296147627,1393080.10098916,4384882.41870624,73716.3513886581,316823.017333099,29349.8279014099,153653.108105037,12960.1572217308,56129.2613650539,2384827.46314248,3933204.49174811,215601.020993372,354378.540623061,620183.437523652,864484.081942219
1150,478411.669871219,81469.9278121212,60410.7599621807,32823.5771241183,7692.76723770803,1352006.66321224,4212182.57065498,72287.2368413417,307610.550632369,28662.5004173325,147160.255396202,12485.6747346689,53086.2256642445,2235517.8832832,3671442.52708028,205459.334001662,336580.077411722,559206.137381503,778201.705510484
1200,473886.190682757,80441.5082477041,58822.3651067648,31632.3265506046,7268.8898220163,1312533.87480179,4048403.29547928,70895.2732478503,298755.836713427,27997.1409209645,141040.993682126,12036.12074674,50274.5362892799,2097944.18769739,3431482.51762169,195923.831197015,319915.174614987,505461.576326636,702305.961997231
1250,469420.36677113,79431.3133249353,57295.4284024315,30504.3479096036,6880.54025390429,1274584.46762266,3892977.1388003,69539.2525960299,290241.562113091,27352.8628696498,135268.297394068,11609.8014458674,47671.7875129618,1971002.55357345,3211156.59319281,186950.765928848,304296.802696043,457951.584914461,635342.450940998
1300,465013.191339711,78438.928135542,55826.8290904201,29435.252836685,6523.78080888002,1238085.60849159,3745379.35947637,68218.013925841,282051.413530552,26728.8228122554,129817.483607188,11205.163371609,45258.1895556024,1853709.47253906,3008546.22994942,178500.076743021,289645.721284978,415834.267533777,576087.743811128
1350,460663.678275648,77463.9492891272,54413.641661392,28421.02620586,6195.21048477132,1202968.60493029,3605124.2287554,66930.4411979605,274170.010858875,26124.21794521,124665.976400187,10820.77975818,43016.2133464551,1745186.89737727,2821949.81762024,170535.0336,275889.685632933,378396.759632257,523508.551860145
1400,456370.861649651,76505.9845365014,53053.1213949751,27457.9887217139,5891.87893852523,1169168.63302497,3471761.69114634,65675.4612722875,266582.845304059,25538.283826637,119793.09809546,10455.3383975095,40930.2900044108,1644649.43027489,2649854.91710096,163021.922111491,262962.74346939,345033.198022787,476728.815507646
1450,452133.795229673,75564.6524071747,51742.6911324875,26542.7638098016,5611.21618044158,1136624.48554097,3344874.34773859,64452.0419900051,259276.222160203,24970.2922371161,115179.883961579,10107.6308325265,38986.5556526461,1551393.24433637,2490914.46411879,155929.76128512,250804.610903623,315226.821548102,435003.047687291
1500,447951.552008069,74639.5818604096,50479.9291641697,25672.248250364,5350.97480136988,1105278.33861195,3224074.72737678,63259.1903532569,252237.207849626,24419.549176526,110808.917438023,9776.5427170694,37172.6339490674,1464786.48069111,2343926.30291799,149230.050851022,239360.117568245,288535.361239219,397694.641047178
1550,443823.223741795,73730.4119492611,49262.5581249506,24843.586079705,5109.18223410895,1075075.53547639,3109002.81517183,62095.9507968753,245453.580873038,23885.3929872642,106664.183347404,9461.04520106047,35477.4501203633,1384260.90517023,2207815.53836836,142896.544746508,228578.712528998,264579.063289424,364258.135170776
1600,439747.920505248,72836.791497059,48088.4348039639,24054.1453504691,4884.10109854438,1045964.38587271,2999323.81138037,60961.4035469455,238913.786347397,23367.1925949001,102730.936904905,9160.187218529,33891.0714116575,1309304.64291996,2081619.28028214,136905.047767856,218414.023617139,243030.829268091,334224.658440714
1650,435724.770255359,71958.3787858117,46955.5407829356,23301.497398665,4674.19609758763,1017895.97982863,2894726.09678777,59854.6630613207,232606.893838395,22864.345858023,98995.5866282292,8873.08857223382,32404.5697669238,1239455.837809,1964473.42376018,131233.232771775,208823.463809379,223608.066711839,307189.926847874
1700,431752.918408549,71094.8412560357,45861.9738273256,22583.3983133185,4478.10625130442,990824.014693101,2794919.38344405,58774.876547503,226522.558220932,22376.2780196824,95445.5895019996,8598.93372246924,31009.9032842678,1174297.10715751,1855601.16702648,125860.476132221,199767.87911076,206065.927446934,282804.311478631
1750,427831.527429197,70245.855217538,44805.9399618774,21897.7723455018,4294.62150410565,964704.634360378,2699633.03198111,57721.2225535919,220650.983324689,21902.4402534064,92069.3569651908,8336.96619950264,29699.8135810764,1113450.68204042,1754303.01579844,120767.709438102,191211.233109271,190191.676578161,260764.58685722
1800,423959.776429251,69411.1055707,43785.7461691301,21242.6970283428,4122.66293236638,939496.279727778,2608614.51882729,56692.9096282655,214982.88814345,21442.3082973183,88856.1704742954,8086.48356929008,28467.736685063,1056574.13990104,1659948.06265217,115937.285660343,183120.323985062,175799.986405857,240807.050672412
1850,420136.860778651,68590.2855378323,42799.7936555793,20616.3898094236,3961.26593050781,915159.549511567,2521628.03847089,55689.1750460039,209509.475406176,20995.3811703633,85796.1055532458,7846.83289090225,27307.7254603971,1003356.65002291,1571966.36258276,111352.858227992,175464.530286757,162728.989896934,222701.766840176
1900,416361.991726233,67783.0964041898,41846.5716356376,20017.1960225254,3809.56587222434,891657.070620656,2438453.22753996,54709.2835939975,204222.402325436,20561.1799651086,82879.963377545,7617.40661167873,26214.3819007122,953515.66401233,1489842.25323534,106999.271636936,168215.58224497,150836.960226021,206247.732234113
1950,412634.396030796,66989.2472682551,40924.6515884131,19443.578047622,3666.78583750568,868953.377355861,2358883.99889005,53752.5264173957,199113.753354632,20139.2467119918,80099.2090578533,7397.63885269135,25182.7978864793,906793.993219345,1413108.49107198,102862.462375275,161347.355789292,139999.508210991,191268.805697394
2000,408953.315602015,66208.4548009142,40032.6819466713,18894.1055269284,3532.22607093319,847014.798764366,2282727.47514944,52818.2199197525,194176.014799895,19729.1433102743,77445.9158902005,7187.00204278704,24208.5032238541,862957.223279411,1341341.09383129,98929.3690895677,154835.686778563,130107.209637824,177610.26837484
2050,405318.007150923,65440.4430131699,39169.3831812297,18367.4465211166,3405.25489663067,825809.353535068,2209803.01228326,51905.7047157119,189402.051145543,19330.450521302,74912.7149283429,6985.00386442293,23287.4199642645,821791.422945894,1274154.79567473,95187.8510388134,148658.203252681,121063.590612523,165135.908686953
2100,401727.741849651,64684.9430320472,38333.5432475151,17862.359503918,3285.30086343924,805306.651871536,2139941.30472234,51014.3446331538,184785.082963861,18942.7670200009,72492.7493105226,6791.18447880806,22415.8221556047,783101.110312614,1211199.03491967,91626.6139905726,142794.173773943,112783.412048588,153725.544728285
2150,398181.80500017,63941.6928843689,37524.0133641224,17377.6861055567,3171.84593283929,785477.803825643,2072983.56447524,50143.5257621815,180318.666290687,18565.7085008249,70179.6328396591,6605.11400161662,21590.3003024717,746707.444568319,1152154.40566196,88235.1428079811,137224.370152251,105191.204860699,143272.912529688
2200,394679.495711747,63210.4372880848,36739.7040960156,16912.344526069,3064.41955377318,766295.333617178,2008780.76741672,49292.6555484877,175996.673358122,18198.90683465,67967.4123742122,6426.39020381429,20807.7299188886,712446.615723127,1096729.51424125,85003.6400593679,131930.943046219,98220.0159054322,133683.861269104
2250,391220.126586873,62490.9274508604,35979.581717516,16465.3235488057,2962.59349431965,747733.099503155,1947192.96063424,48461.161928778,171813.274584506,17842.0092733551,65850.5336377812,6254.6364150064,20065.2436460043,680168.408418543,1044658.18968924,81922.9700552133,126897.309105016,91810.331591798,124874.806765568
2300,387803.023415401,61782.9208756374,35242.664832482,16035.6770924592,2865.97732129887,729766.218795614,1888088.62532682,47648.4925060656,167762.921729989,17494.6776990627,63823.8100999718,6089.49960923019,19360.2064822851,649734.919075683,995697.004261889,78984.6077815541,122108.048467173,85909.1516954837,116771.402929158
2350,384427.524876656,61086.1811728942,34528.0212311166,15622.5192469927,2774.21443625991,712370.997658668,1831344.09029657,46854.1137627765,163840.332133325,17156.5879152252,61882.394620018,5930.6486553206,18690.1937370934,621019.408332338,949623.066089004,76180.5922557684,117548.811565353,80469.1905008453,109307.397645639
2400,381092.982249278,60400.4778793462,33834.764964668,15225.0197449987,2686.97859064375,695524.865344753,1776842.99156001,46077.5103097224,160040.47395233,16827.428976939,60021.7535788408,5777.77271591999,18052.9713722482,593905.273036814,906232.051040508,73503.4838809019,113206.234302734,75448.1861619229,102423.64514854
2450,377798.759128579,59725.5862828361,33162.0536209411,14842.3998254071,2603.97081479676,679206.312556704,1724475.77404128,45318.1841691093,156358.552336525,16506.9025580494,58237.6432552781,5630.57978091277,17446.4784417683,568285.124062122,865336.445244797,70946.3254191564,109067.860769245,70808.3022753068,96067.2515108827
2500,374544.23115119,59061.2872531743,32509.0857850286,14473.9284511956,2524.91670538927,663394.833646695,1674139.23169819,44575.654089852,152789.996466154,16194.7223527763,56526.0882286831,5488.79532257424,16868.8113788398,544059.95792595,826763.973412835,68502.6062445581,105122.072756314,66515.6082189396,90190.8336631118
2550,371328.785726776,58407.3670787041,31875.0986710182,14118.9188469201,2449.56402403742,648070.872385355,1625736.08278017,43849.4548935649,149330.447396859,15890.6135097498,54883.3616134194,5352.16106105679,16318.2099122045,521138.411690368,790356.191317014,66166.2295697878,101358.025408499,62539.6269322859,84751.8754637085
2600,368151.821776641,57763.6173083689,31259.3659116538,13776.7253255487,2377.68056682669,633215.771054865,1579174.57722887,43139.1368496859,145975.746654017,15594.3120964812,53305.9669513822,5220.43383001633,15793.0444225389,499436.091904177,755967.223524959,63931.4823732151,97765.5884208668,58852.9405753063,79712.1669355917
2650,365012.749478986,57129.8345990758,30661.1954940306,13446.7403773176,2309.05227023084,618811.722638515,1534368.13351232,42444.2650782813,142721.925525029,15305.5645924343,51790.6216068958,5093.38453322764,15291.8045737289,478874.969469092,723462.629861691,61793.0077798082,94335.2922532384,55430.8459712739,75037.3149319367
2700,361910.990020665,56505.8205681529,30079.9278304088,13128.391996189,2243.48152380132,604841.725896412,1491235.00243447,41764.4189791556,139565.19500179,15024.1274089816,50334.2415244686,4970.7971839656,14813.0890748639,459382.833282751,692718.38612463,59745.7796741976,91058.2788876587,52251.0529641535,70696.3152879003
2750,358845.975355225,55891.3816507086,29514.9339541381,12821.1412220169,2180.78566412709,591289.543132762,1449697.95568803,41099.1916859677,136501.936329185,14749.7664346435,48933.9272241975,4852.46801975399,14355.5964468018,440892.796357422,663619.96635171,57785.0793461106,87926.2567043657,49293.4198475754,66661.1780134115
2800,355817.147967064,55286.3289617098,28965.613831511,12524.4798787724,2120.79562805876,578139.660474634,1409683.9971218,40448.189544126,133528.692118769,14482.2566041153,47586.9509223143,4738.204685818,13918.1166827108,423342.848850898,636061.515483118,55906.4739879775,84931.4590950002,46539.7208839957,62906.5983381908
2850,352823.960641531,54690.4781626017,28431.3947811139,12237.9284911676,2063.35474616101,565377.250495379,1371124.09487651,39811.0316113007,130642.157989807,14221.3814896865,46290.7446756651,4627.82548123037,13499.5237054655,406675.453090178,609945.102595294,54105.7968820088,82066.6064704304,43973.441657675,59409.6674754262
2900,349865.876240791,54103.6493323006,27911.7299929294,11961.034363788,2008.31765988616,552988.137028148,1333952.93270875,39187.3491794553,127839.174702689,13966.9329137427,45042.8894589704,4521.15866232526,13098.7685364375,390837.176231937,585180.046050486,52379.1291296994,79324.8713549563,41579.5986167164,56149.6178593295
2950,346942.367485306,53525.6668423981,27406.0971400627,11693.3698084154,1955.54934812318,540958.762026134,1298108.678971,38576.7853173571,125116.720752245,13718.7105811314,43841.1050926756,4418.04179847519,12714.8731003656,375778.356697351,561682.30292029,50722.7827907358,76699.8462892992,39344.5796765474,53107.5983621434
3000,344052.916740756,52956.3592364208,26913.9970765355,11434.530506627,1904.92425062611,529276.154336568,1263532.7718509,37978.9944325845,122471.905390903,13476.5217302459,42683.2409472081,4318.32117579296,12346.9245998094,361452.800951837,539373.915928016,49133.2853108497,74185.5142921205,37256.0031954725,50266.4756311147
3050,341197.015810263,52395.5591129976,26434.9526151059,11184.1339960094,1856.32547741438,517927.900265005,1230169.7195942,37393.6418520978,119901.962053763,13240.1808017585,41567.2673566,4221.85124473842,11994.070400382,347817.507580725,518182.511929826,47607.3651294428,71776.2216542315,35302.5930051404,47610.6582244419
3100,338374.165731756,51843.1030127898,25968.507379546,10941.8182694412,1809.644094604,506902.11581522,1197966.91454628,36820.4034204925,117404.24215968,13009.5091239981,40491.2676808391,4128.49410798435,11655.5133746798,334832.415946616,498040.846633445,46141.9383679402,69466.6528614862,33474.0674955762,45125.9406828957
3150,335583.876580342,51298.8313090501,25514.224726243,10707.2404779033,1764.77847830702,496187.420498166,1166874.45994657,36258.9651150986,114976.209264306,12784.3346140356,39453.4309620342,4038.1190452323,11330.5076587017,322460.177009088,478886.390848713,44734.0965089395,67251.8074618902,31761.0410246487,42799.3650636624
3200,332825.667275538,50762.5881016753,25071.6867303793,10480.0757281674,1721.63372925522,485772.912610882,1136845.00850118,35709.0226771343,112615.433542713,12564.491493594,38452.0451246223,3950.60207197118,11018.3547797069,310665.944147693,460660.954087273,43381.0949844265,65126.9787099691,30154.9361527872,40619.0977957072
3250,330099.065393235,50234.2211146307,24640.4932323153,10260.0159675213,1680.1211416862,475648.145893196,1107833.61184047,35170.2812581629,110319.58658082,12349.8200189576,37485.4906744553,3865.82552944363,10718.4001189814,299417.182059033,443310.341788803,42080.3425987166,63087.7338371432,28647.9054015404,38574.3200005417
3300,327403.606982258,49713.581596621,24220.260940124,10046.768948407,1640.15772079585,465803.107476397,1079797.58004348,34642.455081141,108086.436456267,12140.1662241065,36552.234855748,3783.67770332985,10430.0296769619,288683.492002109,426784.042856511,40829.3917184439,61129.8958109601,27232.7614042715,36655.1296661588
3350,324738.83638539,49200.5242248947,23810.6225845338,9840.05726649998,1601.66574372709,456228.19704398,1052696.35047849,34125.2671153832,105913.843090744,11935.3816763473,35650.8262286005,3704.05246887971,10152.6671116731,278436.451846298,411034.944542135,39625.9291679349,59249.526458707,25902.9144631649,34852.4542712902
3400,322104.306064753,48694.9070120688,23411.2261228126,9639.61746633934,1564.57235964513,446914.207130016,1026491.36527071,33618.4487648012,103799.753857005,11735.3232437582,34779.8896331615,3626.84896042294,9885.77102451852,268649.469536055,396019.072036465,38467.7677737393,57442.9108423308,24652.316652363,33157.9726372636
3450,319499.576431407,48196.5912158669,23021.7339883827,9445.199209145,1528.80922495635,437852.304485732,1001145.95676446,33121.7395688112,101742.199424943,11539.852873806,33938.1215095313,3551.97126336767,9628.83247020449,259297.648728347,381695.350400721,37352.8385070029,55706.5427818604,23475.4117154563,31564.0449399633
3500,316924.215679073,47705.4412516683,22641.8223831903,9256.56449793247,1494.31217017107,429034.012449587,976625.240397946,32634.8869153306,99739.289832165,11348.8373825326,33124.285545231,3479.32812696016,9381.37266998418,250357.665484918,368025.386721477,36279.1831768145,54037.1114337821,22367.0900992417,30063.6499484064
3550,314377.799621843,47221.3246077679,22271.1806100703,9073.48695546359,1461.02089529884,420451.194260423,952896.014455659,32157.6457653173,97789.2107654826,11162.1482537427,32337.2086245336,3408.83269622623,9142.94090955665,241807.655013808,354973.270591079,35244.9476316891,52431.4888391699,21322.6485467868,28650.3286723452
3600,311859.911535793,46744.111763254,21909.5104425454,8895.75115095848,1428.87869100619,412096.03725732,929926.666205919,31689.7783883299,95890.2200406492,10979.661447662,31575.7770561845,3340.40226164843,8913.11260485098,233627.107554536,342505.391210293,34248.3754300002,50886.7183639133,20337.7537431877,27318.1337017059
3650,309370.142004372,46273.6761084107,21556.5255296802,8723.15197184404,1397.83218306628,403961.037913487,907687.083969847,31231.054108615,94040.6442685043,10801.2572185608,30838.9330580555,3273.95802525424,8691.48752061528,225796.772590682,330590.269582902,33287.8019434894,49400.003960202,19408.4095685211,26061.5836077952
3700,306908.088767485,45809.8938675581,21211.9508337826,8555.49403713112,1367.83109789435,396038.987654964,886148.574703671,30781.2490612514,92238.8756964788,10626.8199408738,30125.6714791094,3209.42488190058,8477.68812823138,218298.570653251,319198.404426034,32361.6488609899,47968.7001845939,18530.9275656631,24875.6218519313
3750,304473.35657415,45352.644024246,20875.5220988965,8392.59114929962,1338.82804719577,388322.959418145,865283.786708699,30340.145957904,90483.3692151308,10456.2379433696,29435.0367407065,3146.73121463993,8271.35809051423,211115.512049547,308302.130557191,31468.4190622357,46590.3029135731,17701.9002769793,23755.5797130721
3800,302065.557038655,44901.8082487194,20546.9853481758,8234.26578183159,1310.77832995946,380806.294903084,845066.637113048,29907.5338617635,88772.6395200577,10289.4033509514,28766.1199807926,3085.80870314443,8072.16086244784,204231.621916033,297875.488641346,30606.6918341164,45262.4407025697,16918.1771443332,22697.1428034902
3850,299684.308500099,44457.2708275792,20226.096408361,8080.34859976897,1283.63975021184,373482.592482323,825472.243796412,29483.2079712668,87105.2584201546,10126.211933695,28118.0563858737,3026.59214424683,7879.77839787614,197631.871050839,287894.105290747,29775.1184040021,43982.8667389958,16176.8427022015,21696.3207917277
3900,297329.235885244,44018.9185955606,19912.6204597017,7930.67801088745,1257.37244910795,366345.695727553,806476.861454149,29066.9694122148,85479.8522837671,9966.56296275071,27490.0226969255,2969.01928373291,7693.90995311944,191302.11203286,278335.08260777,28972.4177668245,42749.4513440231,15475.1968246284,20749.4199959565
3950,294999.970574586,43586.6408693603,19606.3316097827,7785.09974527402,1231.93875007984,359389.682518816,788057.821519827,28658.6250379212,83895.0996148295,9810.35907275942,26881.2348765168,2913.03065858853,7514.27097934144,185229.020180389,269176.896348566,28197.372784481,41560.1749816081,14810.7368138694,19853.0185493025
4000,292696.150271548,43160.3293834396,19307.0124898129,7643.4664612738,1207.30301588983,352608.854703165,770193.475686364,28257.9872370445,82349.7287515772,9657.50613045136,26290.9459254558,2858.56944896748,7340.59209625575,179400.038943639,260399.301963586,27448.8265378463,40413.1217367138,14181.1411423852,19003.9438724052
4050,290417.418874735,42739.8782277402,19014.4538720365,7505.63737593391,1183.43151654991,345997.7282718,752863.142785241,27864.8737487724,80842.5156808936,9507.91310911533,25718.4438382062,2805.58133920333,7172.61814044817,173803.329362699,251983.247841262,26725.6789132397,39306.4732278055,13584.2546807706,18199.2522180874
4100,288163.426353145,42325.1837872451,18728.454307013,7371.47791822059,1160.29230716942,339551.024026611,736047.058800913,27479.1074850413,79372.281961781,9361.49196864362,25163.0496871761,2754.01438724123,7010.10728220696,168427.723255989,243910.795144171,26026.8834066272,38238.50292155,13018.0752626293,17436.2100790474
4150,285933.828624281,41916.1446833249,18448.8197795962,7240.85940342089,1137.85511488393,333263.658708845,719726.329813928,27100.516359493,77937.8927518569,9218.15754087421,24624.1158267651,2703.81890191323,6852.83020530859,163262.679834509,236165.043683669,25351.4441301495,37207.5708202445,12480.7414536345,16712.2772724126
4200,283728.287435068,41512.6617168094,18175.3633825192,7113.65872726369,1116.09123409857,327130.736564341,703882.887681199,26728.9331228802,76538.2549311463,9077.82741996721,24101.0242087669,2654.94732752492,6700.56934470558,158298.245464376,228730.063329897,24698.4130067589,36212.1184948721,11970.5214063479,16025.0915352119
