Z,Element,1s1/2,2s1/2,3s1/2,4s1/2,5s1/2,6s1/2,7s1/2,2p1/2,2p3/2,3p1/2,3p3/2,4p1/2,4p3/2,5p1/2,5p3/2,6p1/2,6p3/2,3d3/2,3d5/2,4d3/2,4d5/2,5d3/2,5d5/2,4f5/2,4f7/2,5f5/2,5f7/2
1,H,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,
2,He,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Li,54.8,5.4,,,,,,,,,,,,,,,,,,,,,,,,,
4,Be,111.9,9.3,,,,,,,,,,,,,,,,,,,,,,,,,
5,B,188,12.6,,,,,,4.7,,,,,,,,,,,,,,,,,,,
6,C,284.1,18.1,,,,,,9,,,,,,,,,,,,,,,,,,,
7,N,400.5,24.3,,,,,,8.9,9.7,,,,,,,,,,,,,,,,,,
8,O,532,23.7,,,,,,6.8,7.4,,,,,,,,,,,,,,,,,,
9,F,685.4,34,,,,,,8.4,8.7,,,,,,,,,,,,,,,,,,
10,Ne,870.1,48.5,,,,,,21.7,21.6,,,,,,,,,,,,,,,,,,
11,Na,1072.1,63.3,0.7,,,,,31.1,31,,,,,,,,,,,,,,,,,,
12,Mg,1305,89.4,2.1,,,,,51.5,51.3,,,,,,,,,,,,,,,,,,
13,Al,1559.6,117.7,0.7,,,,,73.2,72.7,6,,,,,,,,,,,,,,,,,
14,Si,1838.9,148.7,7.6,,,,,99.5,98.9,3,,,,,,,,,,,,,,,,,
15,P,2145.5,189.3,16.2,,,,,136.2,135.3,9.6,10.1,,,,,,,,,,,,,,,,
16,S,2472,229.2,15.8,,,,,165.4,164.2,7.8,8.2,,,,,,,,,,,,,,,,
17,Cl,2822.4,270.2,17.5,,,,,201.6,200,6.7,6.7,,,,,,,,,,,,,,,,
18,Ar,3202.9,326,29.2,,,,,250.6,248.5,15.9,15.8,,,,,,,,,,,,,,,,
19,K,3607.4,377.1,33.9,0.7,,,,296.3,293.6,18.1,17.8,,,,,,,,,,,,,,,,
20,Ca,4038.1,437.8,43.7,1.8,,,,350,346.4,25.8,25.5,,,,,,,,,,,,,,,,
21,Sc,4492.8,500.4,53.8,1.7,,,,406.7,402.2,33.8,31.5,,,,,,,6.6,,,,,,,,,
22,Ti,4966.4,563.7,60.3,1.6,,,,461.5,455.5,35.6,32.2,,,,,,,3.7,,,,,,,,,
23,V,5465.1,628.2,66.5,1.7,,,,520.5,512.9,40,35,,,,,,,2.2,,,,,,,,,
24,Cr,5989.2,694.6,74.1,1,,,,583.7,574.5,45.9,39.9,,,,,,,2.9,2.2,,,,,,,,
25,Mn,6539,769,83.9,1.9,,,,651.4,640.3,53.1,46.4,,,,,,,3.5,2.7,,,,,,,,
